"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2"
"06/10/2015","2","7","13","21","26","36","42","29","40"
"29/09/2015","1","3","10","12","26","34","42","4","20"
"22/09/2015","21","23","27","35","37","42","44","28","32"
"15/09/2015","1","2","13","19","29","33","43","9","31"
"08/09/2015","4","9","13","21","24","37","38","28","34"
"01/09/2015","13","18","22","24","25","43","45","12","35"
"25/08/2015","15","18","19","21","25","34","45","1","30"
"18/08/2015","3","6","7","25","29","32","42","2","22"
"11/08/2015","1","4","9","11","15","32","37","34","44"
"04/08/2015","8","9","14","19","40","41","44","4","18"
"28/07/2015","14","18","20","25","33","36","38","6","19"
"21/07/2015","3","13","20","21","26","30","33","17","37"
"14/07/2015","2","15","30","33","34","38","44","8","20"
"07/07/2015","1","11","17","19","23","27","36","40","45"
"30/06/2015","2","10","11","13","22","29","33","8","9"
"23/06/2015","2","5","9","19","27","36","45","7","41"
"16/06/2015","4","7","8","17","20","30","40","28","45"
"09/06/2015","5","7","10","14","15","21","32","16","31"
"02/06/2015","2","17","18","21","30","33","37","32","43"
"26/05/2015","9","26","32","39","40","42","44","4","11"
"12/05/2015","13","24","27","28","30","33","43","4","25"
"05/05/2015","2","17","18","21","29","37","45","11","38"
"28/04/2015","2","29","30","34","35","41","45","3","19"
"21/04/2015","2","8","10","25","28","33","37","1","41"
"14/04/2015","2","3","12","24","33","42","45","6","19"
"07/04/2015","10","11","14","22","26","36","42","34","45"
"31/03/2015","3","4","16","17","29","32","44","33","34"
"24/03/2015","4","11","16","24","28","33","45","41","44"
"17/03/2015","4","5","14","15","16","29","42","10","36"
"10/03/2015","3","5","22","25","27","36","45","41","44"
"03/03/2015","5","19","20","23","26","31","43","21","35"
"24/02/2015","3","4","6","18","21","23","31","26","37"
"17/02/2015","2","4","19","25","30","31","38","11","22"
"10/02/2015","6","32","36","39","40","42","44","28","38"
"03/02/2015","2","5","7","10","11","12","36","4","14"
"27/01/2015","1","7","9","30","31","35","40","13","39"
"20/01/2015","2","14","15","20","28","31","34","29","42"
"13/01/2015","23","24","33","36","38","40","44","20","37"
"06/01/2015","2","6","11","19","35","39","40","8","22"
"30/12/2014","4","7","19","26","35","41","43","23","31"
"23/12/2014","6","13","17","19","25","34","37","12","45"
"16/12/2014","4","11","20","21","25","42","45","1","23"
"09/12/2014","7","13","15","21","25","42","43","22","27"
"02/12/2014","1","15","21","29","35","36","45","19","40"
"25/11/2014","8","9","13","16","24","25","42","4","33"
"18/11/2014","14","28","29","30","37","38","44","9","34"
"11/11/2014","2","10","21","25","33","41","43","4","31"
"04/11/2014","13","14","18","21","23","25","31","2","38"
"28/10/2014","6","9","20","21","22","38","40","2","18"
"21/10/2014","6","14","17","19","25","32","34","5","41"
"14/10/2014","3","12","17","21","24","38","45","2","19"
"07/10/2014","3","6","15","19","20","23","28","2","11"
"30/09/2014","10","14","27","30","34","36","40","4","17"
"23/09/2014","6","15","16","22","35","39","43","2","40"
"16/09/2014","13","15","31","33","34","36","45","2","32"
"09/09/2014","15","23","25","28","38","43","44","8","41"
"02/09/2014","1","3","9","15","29","40","43","18","39"
"26/08/2014","2","3","4","12","17","26","32","8","22"
"19/08/2014","1","5","7","31","33","41","43","38","42"
"12/08/2014","3","5","29","32","37","41","43","16","36"
"05/08/2014","3","9","21","25","33","35","42","16","38"
"29/07/2014","1","10","15","30","31","38","43","22","35"
"22/07/2014","3","16","17","19","24","25","35","14","33"
"15/07/2014","1","3","10","14","22","29","37","13","15"
"08/07/2014","7","14","28","30","39","41","42","8","34"
"01/07/2014","1","10","11","15","19","20","44","4","28"
"24/06/2014","8","12","26","32","36","40","41","2","10"
"17/06/2014","1","3","7","23","36","37","41","10","32"
"10/06/2014","1","2","16","17","32","34","44","5","35"
"03/06/2014","5","8","14","20","21","35","40","22","41"
"27/05/2014","2","3","12","19","23","32","40","6","37"
"20/05/2014","4","5","7","16","26","31","39","9","32"
"13/05/2014","4","6","14","20","23","26","35","19","40"
"06/05/2014","3","11","15","25","28","29","41","4","43"
"29/04/2014","1","4","7","10","12","25","35","5","33"
"22/04/2014","4","5","12","30","35","36","43","16","40"
"15/04/2014","5","17","22","27","29","31","35","12","38"
"08/04/2014","6","12","18","19","24","25","35","23","31"
"01/04/2014","1","10","16","19","21","31","40","17","42"
"25/03/2014","15","16","23","29","33","40","45","22","41"
"18/03/2014","2","4","19","24","30","33","38","3","20"
"11/03/2014","14","16","17","19","22","41","43","7","44"
"04/03/2014","24","30","32","34","38","41","42","13","28"
"25/02/2014","3","16","20","21","34","37","38","6","13"
"18/02/2014","1","4","7","11","27","30","36","19","25"
"11/02/2014","7","15","20","22","28","36","38","21","26"
"04/02/2014","3","5","22","26","39","43","44","8","15"
"28/01/2014","4","14","22","25","26","31","36","12","30"
"21/01/2014","1","7","16","23","29","31","42","15","30"
"14/01/2014","21","22","24","36","40","44","45","4","38"
"07/01/2014","14","17","19","20","21","28","29","1","45"
"31/12/2013","4","7","9","13","14","36","41","43","44"
"24/12/2013","4","6","22","24","33","36","42","7","16"
"17/12/2013","17","20","24","26","34","36","39","22","23"
"10/12/2013","9","11","20","35","38","42","43","8","32"
"03/12/2013","2","19","20","21","23","33","40","18","44"
"26/11/2013","5","6","12","24","26","31","40","11","43"
"19/11/2013","7","9","19","30","37","42","44","11","33"
"12/11/2013","5","6","8","29","30","36","38","16","43"
"05/11/2013","3","6","10","17","18","37","45","19","25"
"29/10/2013","7","13","29","32","39","43","45","16","36"
"22/10/2013","7","15","20","21","24","28","42","8","40"
"15/10/2013","2","5","10","18","22","36","39","1","11"
"08/10/2013","5","24","28","32","38","39","45","29","30"
"01/10/2013","1","8","11","12","27","36","42","9","13"
"24/09/2013","10","14","20","33","37","42","43","9","40"
"17/09/2013","8","9","24","27","31","41","44","13","38"
"10/09/2013","12","18","20","21","29","37","40","8","13"
"03/09/2013","8","18","22","23","26","28","31","7","34"
"27/08/2013","7","18","19","28","31","33","37","10","21"
"20/08/2013","7","9","17","26","36","38","45","41","44"
"13/08/2013","1","11","14","30","31","33","43","15","27"
"06/08/2013","16","25","27","29","30","33","37","3","21"
"30/07/2013","3","7","13","16","21","29","39","9","43"
